year_start,year_end,location_abbr,location_desc,datasource,class,question,data_value,data_value_alt,low_confidence_limit,high_confidence_limit,sample_size,age_range,education,income_range,race_ethnicity,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category1,stratification_value
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.1,22.1,19.1,25.5,1150,,College graduate,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,College graduate
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.7,22.7,17.5,28.8,434,,,Data not reported,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,Data not reported
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,26.7,23.9,29.7,1716,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Female
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,NH Hawaiian/Pacific Islander,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,NH Hawaiian/Pacific Islander
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.1,33.1,28.8,37.7,981,,High school graduate,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,High school graduate
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.5,31.5,20.4,45.1,84,,,,Hispanic,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Hispanic
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.6,33.6,25.4,42.9,271,,,"Less than $15,000",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"Less than $15,000"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,28.8,21.4,37.6,245,,Less than high school,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,Less than high school
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.0,28.0,24.9,31.3,1620,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Male
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Black,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic Black
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.9,25.9,23.6,28.2,2425,,,,Non-Hispanic White,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic White
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,35.5,22.7,50.9,63,,,,Non-Hispanic Other,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic Other
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,25.8,22.3,29.6,954,,Some college or technical sch,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,Some college or technical school
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,25.3,29.7,3336,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Total,Total
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,26.7,38.4,1057,,,"$15,000 - $24,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$15,000 - $24,999"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,26.5,19.9,34.3,654,,,"$25,000 - $34,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$25,000 - $34,999"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.7,20.7,16.4,25.8,834,,,"$35,000 - $49,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$35,000 - $49,999"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,25.1,20.2,30.7,830,,,"$50,000 - $74,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$50,000 - $74,999"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.7,19.7,16.4,23.5,1179,,,"$75,000 or greater",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$75,000 or greater"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,18.7,18.7,12.7,26.7,240,18 - 24,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),18 - 24
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.8,20.8,10.4,37.3,82,,,,Non-Hispanic 2 or more races,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic 2 or more races
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,23.6,17.6,30.8,471,25 - 34,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),25 - 34
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,20.7,30.9,655,35 - 44,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),35 - 44
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,25.0,34.6,963,45 - 54,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),45 - 54
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,29.9,25.3,34.9,1346,55 - 64,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),55 - 64
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.6,22.6,19.9,25.7,2475,65 or older,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),65 or older
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.2,34.2,25.1,44.7,270,,,,NH American Indian/Alaska Native,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,NH American Indian/Alaska Native
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,13.0,13.0,5.3,28.6,64,,,,Non-Hispanic Asian,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic Asian
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,17.4,17.4,15.0,20.1,2050,,College graduate,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Education,College graduate
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.6,19.6,15.4,24.7,836,,,Data not reported,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,Data not reported
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,25.8,22.9,29.0,3676,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Sex,Female
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,NH Hawaiian/Pacific Islander,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,NH Hawaiian/Pacific Islander
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.2,25.2,21.5,29.3,1655,,High school graduate,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Education,High school graduate
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,33.8,28.3,39.7,996,,,,Hispanic,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Hispanic
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.1,34.1,26.1,43.1,760,,,"Less than $15,000",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"Less than $15,000"
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.2,36.2,27.9,45.4,536,,Less than high school,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Education,Less than high school
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,24.4,21.5,27.6,2474,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Sex,Male
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.8,26.8,16.6,40.3,103,,,,Non-Hispanic Black,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic Black
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.2,21.2,19.0,23.6,4499,,,,Non-Hispanic White,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic White
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Other,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic Other
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.9,25.9,22.6,29.4,1898,,Some college or technical sch,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Education,Some college or technical school
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,25.1,23.0,27.3,6150,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Total,Total
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,25.7,35.6,860,,,"$15,000 - $24,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$15,000 - $24,999"
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.2,37.2,30.8,44.1,524,,,"$25,000 - $34,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$25,000 - $34,999"
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.7,31.7,26.1,37.9,564,,,"$35,000 - $49,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$35,000 - $49,999"
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.6,30.6,25.2,36.7,528,,,"$50,000 - $74,999",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$50,000 - $74,999"
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,23.3,32.7,718,,,"$75,000 or greater",,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$75,000 or greater"
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.0,23.0,16.1,31.9,136,18 - 24,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Age (years),18 - 24
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.4,26.4,14.2,43.8,80,,,,Non-Hispanic 2 or more races,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,Non-Hispanic 2 or more races
