year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2019,2019,AZ,Arizona,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,,%,Age-adjusted Prevalence,0.0,0.0,*,No data available,0.0,0.0,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),4,COPD,COPD02,,AGEADJPREV,RACE,,,,
2020,2020,WV,West Virginia,BRFSS,Binge drinking frequency among adults who binge drink,,Number,Crude Median,0.0,0.0,****,Data suppressed; denominator < 50 or relative standard error > 30%,0.0,0.0,Race/Ethnicity,Hispanic,,,,,POINT (-80.71264013499967 38.66551020200046),54,ALC,ALC04,,CRDMEDN,RACE,,,,
2019,2019,AZ,Arizona,YRBSS,Short sleep duration among high school students,,%,Crude Prevalence,78.4,78.4,,,75.0,81.5,Sex,Male,,,,,POINT (-111.76381127699972 34.865970280000454),4,SLEP,SLP02,,CRDPREV,SEX,,,,
2019,2019,AR,Arkansas,BRFSS,Arthritis among adults,,%,Age-adjusted Prevalence,33.8,33.8,,,31.6,36.1,Sex,Female,,,,,POINT (-92.27449074299966 34.74865012400045),5,ART,ART01,,AGEADJPREV,SEX,,,,
2019,2019,AR,Arkansas,BRFSS,Depression among adults,,%,Crude Prevalence,27.8,27.8,,,24.7,31.1,Age,Age 18-44,,,,,POINT (-92.27449074299966 34.74865012400045),5,MEN,MEN02,,CRDPREV,AGE,,,,
2019,2019,CT,Connecticut,BRFSS,Binge drinking prevalence among adults,,%,Age-adjusted Prevalence,20.8,20.8,,,18.9,22.9,Sex,Male,,,,,POINT (-72.64984095199964 41.56266102000046),9,ALC,ALC06,,AGEADJPREV,SEX,,,,
2019,2019,CT,Connecticut,BRFSS,Physical inactivity among adults with arthritis,,%,Age-adjusted Prevalence,26.9,26.9,,,22.3,32.1,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),9,ART,ART05,,AGEADJPREV,OVERALL,,,,
2019,2019,CT,Connecticut,BRFSS,Received health care provider counseling for physical activity among adults with arthritis,,%,Age-adjusted Prevalence,59.9,59.9,,,51.6,67.7,Sex,Male,,,,,POINT (-72.64984095199964 41.56266102000046),9,ART,ART06,,AGEADJPREV,SEX,,,,
2019,2019,CT,Connecticut,BRFSS,High cholesterol among adults who have been screened,,%,Crude Prevalence,30.0,30.0,,,25.9,34.5,Race/Ethnicity,Hispanic,,,,,POINT (-72.64984095199964 41.56266102000046),9,CVD,CVD03,,CRDPREV,RACE,,,,
2019,2019,CT,Connecticut,BRFSS,Taking medicine for high cholesterol among adults,,%,Crude Prevalence,35.1,35.1,,,33.1,37.1,Sex,Male,,,,,POINT (-72.64984095199964 41.56266102000046),9,CVD,CVD04,,CRDPREV,SEX,,,,
2019,2019,CT,Connecticut,NVSS,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,Number,Number,1252.0,1252.0,,,0.0,0.0,Age,Age >=65,,,,,POINT (-72.64984095199964 41.56266102000046),9,CVD,CVD07,,NMBR,AGE,,,,
2019,2019,CT,Connecticut,BRFSS,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Crude Prevalence,45.5,45.5,,,35.3,56.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,IMM,IMM02,,CRDPREV,RACE,,,,
2019,2019,CT,Connecticut,BRFSS,Influenza vaccination among adults 18â€“64 who are at increased risk,,%,Crude Prevalence,47.6,47.6,,,42.1,53.1,Sex,Male,,,,,POINT (-72.64984095199964 41.56266102000046),9,IMM,IMM02,,CRDPREV,SEX,,,,
2019,2019,CT,Connecticut,BRFSS,Pneumococcal vaccination among adults aged 65 years and older,,%,Crude Prevalence,74.2,74.2,,,72.2,76.1,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),9,IMM,IMM04,,CRDPREV,OVERALL,,,,
2019,2019,CT,Connecticut,BRFSS,Lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,9.2,9.2,,,7.8,10.9,Sex,Female,,,,,POINT (-72.64984095199964 41.56266102000046),9,SDOH,SDH09,,CRDPREV,SEX,,,,
2019,2019,DE,Delaware,BRFSS,Physical inactivity among adults with arthritis,,%,Crude Prevalence,0.0,0.0,****,Data suppressed; denominator < 50 or relative standard error > 30%,0.0,0.0,Race/Ethnicity,Hispanic,,,,,POINT (-75.57774116799965 39.008830667000495),10,ART,ART05,,CRDPREV,RACE,,,,
2019,2019,DE,Delaware,NVSS,"Asthma mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,0.0,0.0,~,Data suppressed; too few respondents or cases,0.0,0.0,Race/Ethnicity,Hispanic,,,,,POINT (-75.57774116799965 39.008830667000495),10,AST,AST01,,AGEADJRATE,RACE,,,,
